,sentiment,date,channel,game,user,mod,subscriber,message,pred_sentiment,inferred,class_scores
29,1,2018-05-15T16:01:39.483Z,riotgames,League of Legends,11205070,False,False,impact pls PogChamp,1,True,[0.00769231 0.25384615 0.73846154]
30,0,2018-05-20T16:34:21.838Z,forsen,Barbie and the Magic of Pegasus,114999,False,False,I'M CUMMING BAJS MercyWing1 gachiF MercyWing2 . I'M CUMMING BAJS MercyWing1 gachiF MercyWing2,0,True,[0.00233812 0.93524713 0.06241476]
31,0,2018-05-08T03:21:29.572Z,xqcow,IRL,89767,False,False,KKonaW,0,False,"[0.33, 0.34, 0.33]"
32,1,2018-05-03T16:17:28.692Z,forsen,IRL,345828,False,True,gachiBASS,1,True,[0.16 0.3  0.54]
33,0,2018-05-17T22:14:17.031Z,sodapoppin,Wizard of Legend,639262,False,False,shaman Pog,1,True,[0.05 0.21 0.74]
34,1,2018-05-01T19:37:16.806Z,sodapoppin,unknown,798322,False,False,WOOOOOHHOOOO EEEHHHHOOOO,0,False,"[0.33, 0.34, 0.33]"
35,0,2018-05-15T17:41:21.458Z,forsen,Animal Super Squad,535446,False,False,@PEWDIEPIEATTHEBRIDGE HYPERBRUH,-1,True,[0.52 0.27 0.21]
36,0,2018-05-24T22:10:20.094Z,sodapoppin,IRL,790699,False,False,Pog,1,True,[0.05 0.21 0.74]
37,1,2018-05-12T04:53:03.085Z,moonmoon_ow,Throne of Lies: The Online Game of Deceit,9000,False,True,moon2N lovesMoonMoonsTHICCbutt gave Moon 400 bits. That's cool I guess moon2N,0,True,[0.07692308 0.53846154 0.38461538]
38,-1,2018-05-23T18:55:09.794Z,forsen,Raft,219697,False,False,BRING BACK RACISM PepeHands,-1,True,[0.95590143 0.02204929 0.02204929]
39,1,2018-05-17T15:26:24.945Z,moonmoon_ow,Dark Souls III,376442,False,False,"Jesus christ always goes his own way, each and every way he goes is both right and correct @moonmoon_ow",0,False,"[0.33, 0.34, 0.33]"
40,-1,2018-05-07T05:02:39.386Z,xqcow,IRL,185503,False,False,BibleThump,-1,True,[0.59 0.19 0.22]
41,-1,2018-05-30T18:47:13.667Z,forsen,Dark Souls,648802,False,True,forsenSWA,0,False,"[0.33, 0.34, 0.33]"
42,0,2018-05-11T03:50:55.834Z,moonmoon_ow,The Last Door,171471,False,True,take ur top off,0,True,[0.07692308 0.76923077 0.15384615]
43,1,2018-05-29T02:50:29.902Z,sodapoppin,Bless Online,960052,False,False,I made this game :),1,True,[0.06 0.13 0.81]
44,-1,2018-05-09T04:38:42.417Z,moonmoon_ow,Conan Exiles,390292,False,True,@MOONMOON_OW bow and arrow is useless dont even bother they do jack shit,-1,True,[0.8801956  0.11735941 0.00244499]
45,0,2018-05-19T13:21:30.439Z,riotgames,League of Legends,1501375,False,False,EU CROWD,0,False,"[0.33, 0.34, 0.33]"
46,1,2018-05-19T18:02:21.653Z,forsen,STAY,24270,False,True,gachiBASS Clap gachiBASS Clap gachiBASS Clap gachiBASS Clap,1,True,[1.79070588e-07 9.90970380e-04 9.99008851e-01]
47,-1,2018-05-01T17:10:06.595Z,moonmoon_ow,Darkest Dungeon,418073,False,True,He could be a Prime student fool like I am PepeHands,-1,True,[0.57703349 0.34162679 0.08133971]
48,0,2018-05-26T17:20:28.402Z,forsen,Detroit: Become Human,161052,False,True,Kapp,0,False,"[0.33, 0.34, 0.33]"
49,0,2018-05-30T19:55:47.890Z,forsen,Dark Souls,553841,False,False,HYPERBRUH,-1,True,[0.52 0.27 0.21]
50,1,2018-05-23T01:54:37.411Z,xqcow,Until Dawn,597770,False,False,JESS PogChamp,1,True,[0.01 0.03 0.96]
51,0,2018-05-09T15:38:04.708Z,forsen,Radical Heights,291803,False,True,??????????,0,False,"[0.33, 0.34, 0.33]"
52,0,2018-05-04T01:23:00.621Z,sodapoppin,For the King,690106,False,False,Time to smoke again?,0,False,"[0.33, 0.34, 0.33]"
53,-1,2018-05-08T04:29:49.248Z,moonmoon_ow,Dark Souls III,704853,False,True,8=======================D,1,True,[0.07692308 0.07692308 0.84615385]
54,-1,2018-05-09T03:25:19.800Z,moonmoon_ow,Conan Exiles,612406,False,False,Whats up with all these games showing dicks and pussies,0,False,"[0.33, 0.34, 0.33]"
55,1,2018-05-30T20:39:32.284Z,forsen,Dark Souls,501743,False,True,NAMMERS FeelsGoodMan Clap NAMMERS FeelsGoodMan Clap,1,True,[5.69432992e-07 5.90410903e-04 9.99409020e-01]
56,1,2018-05-08T21:09:25.461Z,xqcow,Overwatch,36887,False,False,💕 ✨ AYAYA Clap 💖,1,True,[4.92198912e-06 2.04437773e-02 9.79551301e-01]
57,1,2018-05-31T19:11:00.864Z,forsen,Dark Souls,5973596,False,False,:),1,True,[0.06 0.13 0.81]
58,0,2018-05-06T20:10:37.875Z,forsen,Fallout: New Vegas,245373,False,True,forsen1 forsen2,0,False,"[0.33, 0.34, 0.33]"
59,-1,2018-05-17T19:51:12.942Z,forsen,Wizard of Legend,1584677,False,True,MOVE CAM 😡 MOVE CAM 😡 MOVE CAM 😡 MOVE CAM 😡,-1,True,[9.98560945e-01 1.16188075e-05 1.42743629e-03]
60,-1,2018-05-06T20:33:22.227Z,forsen,Fallout: New Vegas,1444924,False,True,forsen1337 WTF NEW EMOTE Pog,1,True,[0.36666667 0.14       0.49333333]
61,-1,2018-05-15T13:57:24.122Z,riotgames,League of Legends,2904897,False,False,i love azael lol,1,True,[0.01369863 0.08219178 0.90410959]
62,1,2018-05-30T02:26:00.146Z,moonmoon_ow,Games + Demos,172710,False,True,LUL,1,True,[0.1  0.22 0.68]
63,0,2018-05-04T13:00:06.056Z,riotgames,League of Legends,103094,False,False,CHEETAN GOD,0,True,[0.07692308 0.61538462 0.30769231]
64,1,2018-05-09T00:50:55.481Z,sodapoppin,Wreckfest,996670,False,False,DEPLOY SAMME U ZULUL,0,False,"[0.33, 0.34, 0.33]"
65,1,2018-05-11T16:20:44.598Z,forsen,IRL,1518318,False,True,HYPERBRUH,-1,True,[0.52 0.27 0.21]
66,1,2018-05-16T18:48:01.425Z,forsen,The Council,731560,False,False,░░░░▓█───────▄▄▀▀█────── ░░░░▒░█────▄█▒░░▄░█───── ░░░░░░░▀▄─▄▀▒▀▀▀▄▄▀──DO─ ░░░░░░░░░█▒░░░░▄▀───YOU─ ▒▒▒░░░░▄▀▒░░░░▄▀───LIKE─ ▓▓▓▓▒░█▒░░░░░█▄───WHAT─ █████▀▒░░░░░█░▀▄───YOU── █████▒▒░░░▒█░░░▀▄─SEE?── ███▓▓▒▒▒▀▀▀█▄░░░░█────── ▓██▓▒▒▒▒▒▒▒▒▒█░░░░█───── ▓▓█▓▒▒▒▒▒▒▓▒▒█░░░░░█──── ░▒▒▀▀▄▄▄▄█▄▄▀░░░░░░░█─ gachiBASS,0,True,[5.46995256e-69 1.00000000e+00 6.36856329e-77]
67,0,2018-05-08T21:54:16.780Z,xqcow,Overwatch,1748487,False,False,!plugdj,0,False,"[0.33, 0.34, 0.33]"
68,0,2018-05-14T12:06:08.542Z,riotgames,League of Legends,7554642,False,False,MLXD,0,False,"[0.33, 0.34, 0.33]"
69,0,2018-05-14T13:32:08.832Z,riotgames,League of Legends,29110,False,False,ACED FF@15,1,True,[0.07692308 0.38461538 0.53846154]
70,1,2018-05-01T14:58:55.134Z,moonmoon_ow,Darkest Dungeon,1350834,False,False,good game i was the dick sucker :),0,True,[0.24283305 0.43844857 0.31871838]
71,1,2018-05-11T23:30:14.329Z,xqcow,Overwatch,3312,True,True,xqcLove tealer_gamer just joined the jungle! xqcLove Thanks so much for subbing xqcCat And supporting the stream! xqcCat,0,True,[0.01369863 0.49315068 0.49315068]
72,1,2018-05-05T06:36:08.890Z,moonmoon_ow,Darkest Dungeon,3231188,False,False,EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap,1,True,[8.03784564e-59 6.23868498e-26 1.00000000e+00]
73,-1,2018-05-23T16:21:53.279Z,forsen,IRL,965854,False,True,sumSmash,0,True,[0.34 0.48 0.18]
74,1,2018-05-11T14:27:27.499Z,moonmoon_ow,Dead Cells,2647202,False,False,lololol,0,False,"[0.33, 0.34, 0.33]"
75,0,2018-05-23T01:57:41.937Z,xqcow,Until Dawn,861592,False,False,SETTLE DOWN xqcPls,0,False,"[0.33, 0.34, 0.33]"
76,0,2018-05-03T14:40:58.204Z,riotgames,League of Legends,1683031,False,False,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In et nibh nisi. Etiam non arcu ac massa aliquam aliquam non vehicula tortor. Phasellus in laoreet elit, in convallis justo. Sed sollicitudin tellus consequat, sodales nisi quis, iaculis ligula. Nam vehicula, augue ac congue porta, nulla mauris imperdiet tortor, vitae consequat eros nibh id ipsum.",0,False,"[0.33, 0.34, 0.33]"
77,-1,2018-05-17T16:54:34.425Z,moonmoon_ow,Dark Souls III,12488243,False,True,Mario Music actually makes me worse at platforming PepePls,-1,True,[0.61976048 0.2245509  0.15568862]
78,1,2018-05-08T17:15:41.675Z,forsen,Barbie and the Magic of Pegasus,39535,False,True,AYAYA Clap,1,True,[0.00960246 0.11926253 0.87113501]
79,0,2018-05-15T06:40:01.660Z,moonmoon_ow,Retro,2096351,False,False,change wifi monkaS,0,True,[0.26 0.57 0.17]
80,0,2018-05-31T21:26:44.232Z,forsen,Dark Souls,182090,False,True,???????????????,0,False,"[0.33, 0.34, 0.33]"
81,0,2018-05-12T14:51:48.375Z,riotgames,League of Legends,250349,False,False,so jatt says ''china sandbagging in group stage'' LUL,1,True,[0.1  0.22 0.68]
82,0,2018-05-14T03:07:54.997Z,xqcow,Overwatch,3479475,False,False,ResidentSleeper,-1,True,[0.6  0.22 0.18]
83,1,2018-05-08T05:25:42.277Z,moonmoon_ow,Throne of Lies: The Online Game of Deceit,953872,False,True,OMEGAROLL,0,False,"[0.33, 0.34, 0.33]"
84,-1,2018-05-22T02:26:39.640Z,moonmoon_ow,Super Ghouls 'N Ghosts,241794,False,True,moon2D,0,False,"[0.33, 0.34, 0.33]"
85,-1,2018-05-12T14:42:53.193Z,moonmoon_ow,Salt and Sanctuary,1690580,False,True,OBLITERATED moon2H,-1,True,[0.61538462 0.30769231 0.07692308]
86,0,2018-05-14T12:28:29.511Z,riotgames,League of Legends,2987474,False,False,CHEWING DansGame,-1,True,[0.62 0.22 0.16]
87,1,2018-05-27T20:54:54.344Z,forsen,Dark Souls,2502541,False,True,CARRIED BY RNG LOOT OMEGALUL,1,True,[0.16 0.25 0.59]
88,1,2018-05-15T16:07:46.612Z,riotgames,League of Legends,1057377,False,False,EU GANK LUL,1,True,[0.1  0.22 0.68]
89,0,2018-05-30T05:34:38.039Z,moonmoon_ow,Baldi's Basics in Education and Learning,23188,False,True,monkaMEGA,0,False,"[0.33, 0.34, 0.33]"
90,-1,2018-05-08T19:22:25.965Z,forsen,Darwin Project,5743,False,True,PepeHands FREE PLEBS PepeHands FREE PLEBS PepeHands FREE PLEBS,1,True,[0.07491001 0.03303893 0.89205107]
91,0,2018-05-10T18:29:11.528Z,forsen,Darwin Project,2251724,False,False,░░░░█─────────────█──▀── ░░░░▓█───────▄▄▀▀█────── ░░░░▒░█────▄█▒░░▄░█───── ░░░░░░░▀▄─▄▀▒▀▀▀▄▄▀──DO─ ░░░░░░░░░█▒░░░░▄▀───YOU─ ▒▒▒░░░░▄▀▒░░░░▄▀───LIKE─ ▓▓▓▓▒░█▒░░░░░█▄───WHAT─ █████▀▒░░░░░█░▀▄───YOU── █████▒▒░░░▒█░░░▀▄─SEE?── ███▓▓▒▒▒▀▀▀█▄░░░░█────── ▓██▓▒▒▒▒▒▒▒▒▒█░░░░█───── ▓▓█▓▒▒▒▒▒▒▓▒▒█░░░░░█──── ░▒▒▀▀▄▄▄▄█▄▄▀░░░░░░░█─,0,True,[7.64167457e-72 1.00000000e+00 5.66971440e-81]
92,1,2018-05-15T11:12:57.757Z,riotgames,League of Legends,189171,False,False,NA TRADE LUL,1,True,[0.1  0.22 0.68]
93,0,2018-05-21T05:00:22.760Z,sodapoppin,Warcraft III: The Frozen Throne,5148504,False,False,!uptime,0,False,"[0.33, 0.34, 0.33]"
94,-1,2018-05-06T22:56:29.436Z,sodapoppin,Peggle 2,459548,False,True,DansGame,-1,True,[0.62 0.22 0.16]
95,0,2018-05-09T18:41:16.527Z,sodapoppin,IRL,634722,False,True,true,0,True,[0.07692308 0.53846154 0.38461538]
96,1,2018-05-20T11:38:07.077Z,riotgames,League of Legends,234372,False,False,AFK LUL,1,True,[0.1  0.22 0.68]
97,0,2018-05-25T19:44:06.625Z,sodapoppin,IRL,420726,False,False,PepePls,1,True,[0.23 0.25 0.52]
98,1,2018-05-26T17:51:10.655Z,forsen,Detroit: Become Human,76532,False,True,NO FATHER TriHard,0,True,[0.22925764 0.70742358 0.06331878]
99,-1,2018-05-09T19:28:13.366Z,sodapoppin,Deathgarden,2234592,False,False,Same devs as dead by daylight dumb chat FailFish,-1,True,[0.9926224  0.00536553 0.00201207]
100,-1,2018-05-25T18:03:26.275Z,sodapoppin,IRL,6562574,False,False,BECAUSE WE SAW IT BEFORE YOU DUMB FUCKS DID,-1,True,[0.86419753 0.12345679 0.01234568]
101,0,2018-05-25T01:47:24.082Z,xqcow,Raft,450495,False,False,@Xeypher i thought it sounded familiar,0,False,"[0.33, 0.34, 0.33]"
102,1,2018-05-04T16:36:46.897Z,moonmoon_ow,Darkest Dungeon,159073,False,True,poggers moon2S,0,False,"[0.33, 0.34, 0.33]"
103,1,2018-05-18T13:12:34.043Z,riotgames,League of Legends,1033730,False,False,uzi PogChamp,1,True,[0.01 0.03 0.96]
104,1,2018-05-13T20:57:53.647Z,forsen,Super Mario Odyssey,163427,False,True,OMEGALUL,1,True,[0.16 0.25 0.59]
105,0,2018-05-20T00:28:48.631Z,sodapoppin,The Joy Of Sex,6199402,False,False,THICC BOI,0,False,"[0.33, 0.34, 0.33]"
106,0,2018-05-05T19:14:44.033Z,forsen,Fallout: New Vegas,972915,False,True,its elon CurseLit,0,True,[0.11111111 0.51515152 0.37373737]
107,0,2018-05-13T05:45:44.135Z,xqcow,Fortnite,403058,False,False,small,0,False,"[0.33, 0.34, 0.33]"
108,0,2018-05-04T13:31:56.214Z,riotgames,League of Legends,9668433,False,False,seriously,0,True,[0.30769231 0.53846154 0.15384615]
109,1,2018-05-02T06:31:18.444Z,moonmoon_ow,Darkest Dungeon,15,True,True,moon2S [12594] smiles,1,True,[0.07692308 0.38461538 0.53846154]
110,1,2018-05-14T04:41:02.972Z,xqcow,IRL,1283560,False,False,OMEGALUL,1,True,[0.16 0.25 0.59]
111,1,2018-05-24T20:39:13.010Z,xqcow,Overwatch,148506,False,False,LUL,1,True,[0.1  0.22 0.68]
112,-1,2018-05-23T02:49:01.708Z,moonmoon_ow,Super Ghouls 'N Ghosts,74459,False,True,KoiHaibane My main issue was on the form I spaced out my zip code to be readable and shit and then I didn't do it on the other form that had to match it exactly OMEGALUL,-1,True,[0.59479554 0.18587361 0.21933086]
113,0,2018-05-19T10:39:57.251Z,riotgames,League of Legends,6584425,False,False,whence,0,False,"[0.33, 0.34, 0.33]"
114,1,2018-05-05T15:42:21.051Z,forsen,Fallout: New Vegas,54371,False,True,Kappa,0,True,[0.07 0.51 0.42]
115,1,2018-05-30T23:08:11.149Z,sodapoppin,Dark Souls,551025,False,True,tauron demon is easy af,0,True,[0.07692308 0.46153846 0.46153846]
116,-1,2018-05-22T16:37:05.446Z,moonmoon_ow,Dark Souls III,2126886,False,True,EZ 👇,1,True,[0.02955145 0.30870712 0.66174142]
117,1,2018-05-09T22:05:46.246Z,sodapoppin,Deathgarden,5269796,False,False,Kappa,0,True,[0.07 0.51 0.42]
118,0,2018-05-05T06:47:25.607Z,moonmoon_ow,Darkest Dungeon,8549052,False,True,you're not wrong,-1,True,[0.61538462 0.30769231 0.07692308]
119,1,2018-05-12T15:44:29.579Z,moonmoon_ow,Salt and Sanctuary,24880,False,True,4Head,1,True,[0.2  0.21 0.59]
120,1,2018-05-11T15:59:10.813Z,forsen,IRL,1682204,False,True,forsenOMEGA forsenOMEGA,0,False,"[0.33, 0.34, 0.33]"
121,0,2018-05-08T20:26:59.381Z,xqcow,Overwatch,11628567,False,False,!uptime,0,False,"[0.33, 0.34, 0.33]"
122,1,2018-05-26T16:21:46.372Z,forsen,Detroit: Become Human,250506,False,True,KappaPride ⁭,1,True,[0.06930693 0.36633663 0.56435644]
123,0,2018-05-01T19:29:47.299Z,forsen,Fallout: New Vegas,391593,False,True,moon2N,0,False,"[0.33, 0.34, 0.33]"
124,0,2018-05-18T11:30:38.071Z,riotgames,League of Legends,2418239,False,False,MorphinTime SPAM MorphinTime THIS MorphinTime STATIC MorphinTime TO HELP MorphinTime FNATIC MorphinTime,0,True,[0.1627907  0.69767442 0.13953488]
125,-1,2018-05-09T15:47:45.808Z,forsen,Radical Heights,1317328,False,True,forsenY forsenY forsenY forsenY forsenY,0,False,"[0.33, 0.34, 0.33]"
126,-1,2018-05-29T19:25:44.342Z,forsen,Dark Souls,3378,False,True,⎛° ͜ʖ°⎞ 🖕 ⎛° ͜ʖ°⎞ 🖕 ⎛° ͜ʖ°⎞ 🖕,0,False,"[0.33, 0.34, 0.33]"
127,1,2018-05-19T19:09:01.214Z,forsen,STAY,1653136,False,True,forsenOMEGA,0,False,"[0.33, 0.34, 0.33]"
128,1,2018-05-16T17:33:53.394Z,forsen,The Council,279716,False,False,alex sir LULW,1,True,[0.16 0.22 0.62]
129,0,2018-05-20T11:16:44.043Z,riotgames,League of Legends,1723421,False,False,WAR CHANT monkaS,-1,True,[0.55450237 0.40521327 0.04028436]
130,0,2018-05-19T10:54:37.940Z,riotgames,League of Legends,1487262,False,False,CONTROL WARDS LUL,1,True,[0.1  0.22 0.68]
131,-1,2018-05-29T18:27:18.015Z,forsen,Dark Souls,2642250,False,True,D:,-1,True,[0.59405941 0.27722772 0.12871287]
132,1,2018-05-06T23:37:45.370Z,sodapoppin,IRL,153292,False,False,UNLOCK IT forsenE,0,False,"[0.33, 0.34, 0.33]"
133,0,2018-05-25T10:06:33.560Z,sodapoppin,Detroit: Become Human,725851,False,True,Kapp NO,0,True,[0.23076923 0.69230769 0.07692308]
134,0,2018-05-29T17:08:47.043Z,forsen,Dark Souls,430604,False,False,PepeLaugh HIJ WEET HET NIET PepeLaugh HIJ WEET HET NIET PepeLaugh HIJ WEET HET NIET PepeLaugh .,0,False,"[0.33, 0.34, 0.33]"
135,1,2018-05-14T17:17:35.078Z,moonmoon_ow,Salt and Sanctuary,9000,False,True,moon2N Saltydohg 2 months in a row. Thanks I guess moon2N,0,True,[0.07692308 0.46153846 0.46153846]
136,-1,2018-05-27T23:12:49.983Z,forsen,Dark Souls,37431,False,True,EASIEST DARK SOULS OMEGALUL I KILLED ALL BOSSES FIRST TRY LAST WEEK OMEGALUL EASIEST DARK SOULS OMEGALUL I KILLED ALL BOSSES FIRST TRY LAST WEEK OMEGALUL,1,True,[0.01296902 0.01597136 0.97105963]
137,-1,2018-05-05T07:09:35.459Z,moonmoon_ow,Darkest Dungeon,127227,False,True,monkaMEGA,0,False,"[0.33, 0.34, 0.33]"
138,1,2018-05-22T23:44:42.002Z,sodapoppin,Overwatch,666465,False,False,P OMEGALUL K E,1,True,[0.16 0.25 0.59]
139,1,2018-05-17T21:26:03.182Z,xqcow,Overwatch,795980,False,False,Pedobear Clap,1,True,[0.05 0.23 0.72]
140,1,2018-05-29T23:57:33.706Z,xqcow,Overwatch,4489839,False,False,FeelsGoodMan Clap AGANE,1,True,[7.36377025e-04 2.37113402e-02 9.75552283e-01]
141,1,2018-05-02T20:03:20.275Z,forsen,Fallout: New Vegas,2204291,False,False,DansGame,-1,True,[0.62 0.22 0.16]
142,-1,2018-05-31T21:38:02.688Z,sodapoppin,Moonlighter,1304906,False,True,DansGame,-1,True,[0.62 0.22 0.16]
143,1,2018-05-23T00:46:36.356Z,xqcow,Overwatch,7376341,False,False,MOXY POGGERS,1,True,[0.04 0.12 0.84]
144,0,2018-05-16T04:05:34.934Z,xqcow,Overwatch,152166,False,False,RAT,0,False,"[0.33, 0.34, 0.33]"
145,0,2018-05-05T22:18:29.486Z,forsen,IRL,2840956,False,False,WORST ENDING,-1,True,[0.76923077 0.15384615 0.07692308]
146,-1,2018-05-11T22:34:51.651Z,sodapoppin,IRL,11990659,False,False,FeelsBadMan,-1,True,[0.66 0.16 0.18]
147,-1,2018-05-20T21:52:27.488Z,sodapoppin,IRL,6583692,False,False,and onther school shooter was made in minecraft,0,False,"[0.33, 0.34, 0.33]"
148,1,2018-05-17T18:02:49.716Z,forsen,House Flipper,26831,False,True,PepeLaugh 👉 🇫🇷 PepeLaugh 👉 🇫🇷,0,True,[0.01161107 0.5014086  0.48698033]
149,1,2018-05-05T05:30:05.725Z,moonmoon_ow,Darkest Dungeon,272982,False,True,gachiBASS Clap THANK YOU SIR,1,True,[0.00328542 0.19835729 0.79835729]
150,0,2018-05-20T13:27:16.208Z,riotgames,League of Legends,33444,False,False,forsen3 forsen4,0,False,"[0.33, 0.34, 0.33]"
151,1,2018-05-20T15:58:31.077Z,forsen,IRL,148229,False,False,forsenSWA Clap,1,True,[0.05 0.23 0.72]
152,1,2018-05-21T22:03:16.408Z,sodapoppin,IRL,11968688,False,True,lolol,0,False,"[0.33, 0.34, 0.33]"
153,0,2018-05-18T14:27:17.015Z,moonmoon_ow,Dark Souls III,163494,False,True,moon2M LITERALLY 100000 IQ ATHEIST BTW moon2M LITERALLY 100000 IQ ATHEIST BTW moon2M LITERALLY 100000 IQ ATHEIST BTW moon2M LITERALLY 100000 IQ ATHEIST BTW,0,False,"[0.33, 0.34, 0.33]"
154,0,2018-05-08T21:32:01.867Z,sodapoppin,IRL,535150,False,True,sodaL sodaL sodaL,0,False,"[0.33, 0.34, 0.33]"
155,-1,2018-05-04T03:19:21.233Z,moonmoon_ow,Darkest Dungeon,2406626,False,True,"seal1234 please come back, the kids miss you, and so do i",0,True,[0.04761905 0.66666667 0.28571429]
156,0,2018-05-15T20:58:36.033Z,forsen,Laser League,6002250,False,True,CRA IDDO forsenCD CRA IDDO forsenCD CRA IDDO forsenCD CRA IDDO forsenCD,0,False,"[0.33, 0.34, 0.33]"
157,-1,2018-05-25T14:16:30.552Z,sodapoppin,Detroit: Become Human,57168,False,True,FeelsBadMan,-1,True,[0.66 0.16 0.18]
158,1,2018-05-25T00:51:05.882Z,xqcow,Raft,453459,False,True,@xQcOW make boat armor,0,False,"[0.33, 0.34, 0.33]"
159,0,2018-05-06T21:47:07.867Z,sodapoppin,Peggle 2,255796,False,False,???????,0,False,"[0.33, 0.34, 0.33]"
