sentiment,date,channel,game,user,mod,subscriber,message,pred_sentiment,class_scores,inferred
1,2018-05-27T01:59:43.421Z,xqcow,Overwatch,904013,False,True,PLAT CHAT LUL,1,0.1-0.22-0.68,true
0,2018-05-11T21:22:45.914Z,sodapoppin,IRL,195820,False,True,monkaS,0,0.26-0.57-0.17,true
1,2018-05-20T13:52:20.382Z,riotgames,League of Legends,484448,False,False,SILVER SCRAPES POGGERS,1,0.04-0.12-0.84,true
0,2018-05-06T09:54:37.552Z,riotgames,League of Legends,4020387,False,False,6-0,0,0.33-0.34-0.33,false
1,2018-05-07T01:50:51.630Z,sodapoppin,IRL,330965,False,False,scarraGASM scarraGASM scarraGASM scarraGASM,0,0.33-0.34-0.33,false
1,2018-05-19T03:25:02.729Z,moonmoon_ow,Getting Over It,1704627,False,True,DOKI DONI OMEGALUL STAY! STAY! OMEGALUL TANK DATING SIM OMEGALUL,1,0.018196357174589076-0.06941359395824079-0.9123900488671702,true
1,2018-05-10T19:48:45.271Z,xqcow,Darwin Project,386466,False,False,EZ,1,0.08-0.26-0.66,true
1,2018-05-11T13:04:58.404Z,riotgames,League of Legends,949496,False,False,D 💿 C LUL,1,0.1-0.22-0.68,true
0,2018-05-30T01:00:59.025Z,sodapoppin,Dark Souls,427075,False,False,D: ASMON D: in that cell,-1,0.7906874588183614-0.17219415769822097-0.037118383483417526,true
0,2018-05-25T01:56:47.317Z,sodapoppin,Raft,4073664,False,False,:),1,0.06-0.13-0.81,true
1,2018-05-05T04:49:53.602Z,moonmoon_ow,Darkest Dungeon,645988,False,True,you can do it moon moon2CUTE Clap2 moon2S Clap2 moon2A Clap2 moon2N,-1,0.6161616161616161-0.31313131313131315-0.07070707070707072,true
1,2018-05-03T02:56:14.010Z,moonmoon_ow,The Binding of Isaac: Afterbirth,766969,False,True,OMEGAROLL,0,0.33-0.34-0.33,false
1,2018-05-25T15:14:18.514Z,moonmoon_ow,Dark Souls,958210,False,True,yes moon2M,0,0.07692307692307693-0.46153846153846156-0.46153846153846156,true
-1,2018-05-25T20:24:29.337Z,forsen,Detroit: Become Human,291147,False,True,forsenThink,0,0.33-0.34-0.33,false
0,2018-05-17T19:47:07.266Z,forsen,Wizard of Legend,21941,False,True,@forsen PLAY WITH NANI 😡 PLAY WITH NANI 😡 PLAY WITH NANI 😡 PLAY WITH NANI 😡,-1,0.7074089254160639-0.03371455729633205-0.25887651728760397,true
0,2018-05-23T20:12:37.182Z,forsen,Raft,480874,False,True,4HEad,0,0.33-0.34-0.33,false
0,2018-05-18T22:16:30.326Z,sodapoppin,IRL,173960,False,False,:),1,0.06-0.13-0.81,true
1,2018-05-15T16:01:39.483Z,riotgames,League of Legends,11205070,False,False,impact pls PogChamp,1,0.007692307692307693-0.25384615384615383-0.7384615384615385,true
0,2018-05-20T16:34:21.838Z,forsen,Barbie and the Magic of Pegasus,114999,False,False,I'M CUMMING BAJS MercyWing1 gachiF MercyWing2 . I'M CUMMING BAJS MercyWing1 gachiF MercyWing2,0,0.002338117815158797-0.9352471260635189-0.062414756121322336,true
0,2018-05-08T03:21:29.572Z,xqcow,IRL,89767,False,False,KKonaW,0,0.33-0.34-0.33,false
1,2018-05-03T16:17:28.692Z,forsen,IRL,345828,False,True,gachiBASS,1,0.16-0.3-0.54,true
0,2018-05-17T22:14:17.031Z,sodapoppin,Wizard of Legend,639262,False,False,shaman Pog,1,0.05-0.21-0.74,true
1,2018-05-01T19:37:16.806Z,sodapoppin,unknown,798322,False,False,WOOOOOHHOOOO EEEHHHHOOOO,0,0.33-0.34-0.33,false
0,2018-05-15T17:41:21.458Z,forsen,Animal Super Squad,535446,False,False,@PEWDIEPIEATTHEBRIDGE HYPERBRUH,-1,0.52-0.27-0.21,true
0,2018-05-24T22:10:20.094Z,sodapoppin,IRL,790699,False,False,Pog,1,0.05-0.21-0.74,true
1,2018-05-12T04:53:03.085Z,moonmoon_ow,Throne of Lies: The Online Game of Deceit,9000,False,True,moon2N lovesMoonMoonsTHICCbutt gave Moon 400 bits. That's cool I guess moon2N,0,0.07692307692307693-0.5384615384615384-0.38461538461538464,true
-1,2018-05-23T18:55:09.794Z,forsen,Raft,219697,False,False,BRING BACK RACISM PepeHands,-1,0.9559014267185473-0.022049286640726327-0.022049286640726327,true
1,2018-05-17T15:26:24.945Z,moonmoon_ow,Dark Souls III,376442,False,False,"Jesus christ always goes his own way, each and every way he goes is both right and correct @moonmoon_ow",0,0.33-0.34-0.33,false
-1,2018-05-07T05:02:39.386Z,xqcow,IRL,185503,False,False,BibleThump,-1,0.59-0.19-0.22,true
-1,2018-05-30T18:47:13.667Z,forsen,Dark Souls,648802,False,True,forsenSWA,0,0.33-0.34-0.33,false
0,2018-05-11T03:50:55.834Z,moonmoon_ow,The Last Door,171471,False,True,take ur top off,0,0.07692307692307693-0.7692307692307693-0.15384615384615385,true
1,2018-05-29T02:50:29.902Z,sodapoppin,Bless Online,960052,False,False,I made this game :),1,0.06-0.13-0.81,true
-1,2018-05-09T04:38:42.417Z,moonmoon_ow,Conan Exiles,390292,False,True,@MOONMOON_OW bow and arrow is useless dont even bother they do jack shit,-1,0.880195599022005-0.11735941320293398-0.0024449877750611247,true
0,2018-05-19T13:21:30.439Z,riotgames,League of Legends,1501375,False,False,EU CROWD,0,0.33-0.34-0.33,false
1,2018-05-19T18:02:21.653Z,forsen,STAY,24270,False,True,gachiBASS Clap gachiBASS Clap gachiBASS Clap gachiBASS Clap,1,1.7907058762056295e-7-0.0009909703801602543-0.9990088505492521,true
-1,2018-05-01T17:10:06.595Z,moonmoon_ow,Darkest Dungeon,418073,False,True,He could be a Prime student fool like I am PepeHands,-1,0.5770334928229665-0.3416267942583732-0.0813397129186603,true
0,2018-05-26T17:20:28.402Z,forsen,Detroit: Become Human,161052,False,True,Kapp,0,0.33-0.34-0.33,false
0,2018-05-30T19:55:47.890Z,forsen,Dark Souls,553841,False,False,HYPERBRUH,-1,0.52-0.27-0.21,true
1,2018-05-23T01:54:37.411Z,xqcow,Until Dawn,597770,False,False,JESS PogChamp,1,0.01-0.03-0.96,true
0,2018-05-09T15:38:04.708Z,forsen,Radical Heights,291803,False,True,??????????,0,0.33-0.34-0.33,false
0,2018-05-04T01:23:00.621Z,sodapoppin,For the King,690106,False,False,Time to smoke again?,0,0.33-0.34-0.33,false
-1,2018-05-08T04:29:49.248Z,moonmoon_ow,Dark Souls III,704853,False,True,8=======================D,1,0.07692307692307693-0.07692307692307693-0.8461538461538461,true
-1,2018-05-09T03:25:19.800Z,moonmoon_ow,Conan Exiles,612406,False,False,Whats up with all these games showing dicks and pussies,0,0.33-0.34-0.33,false
1,2018-05-30T20:39:32.284Z,forsen,Dark Souls,501743,False,True,NAMMERS FeelsGoodMan Clap NAMMERS FeelsGoodMan Clap,1,5.694329918815712e-7-0.0005904109033024883-0.9994090196637057,true
1,2018-05-08T21:09:25.461Z,xqcow,Overwatch,36887,False,False,💕 ✨ AYAYA Clap 💖,1,0.000004921989115841723-0.020443777307248-0.9795513007036362,true
1,2018-05-31T19:11:00.864Z,forsen,Dark Souls,5973596,False,False,:),1,0.06-0.13-0.81,true
0,2018-05-06T20:10:37.875Z,forsen,Fallout: New Vegas,245373,False,True,forsen1 forsen2,0,0.33-0.34-0.33,false
-1,2018-05-17T19:51:12.942Z,forsen,Wizard of Legend,1584677,False,True,MOVE CAM 😡 MOVE CAM 😡 MOVE CAM 😡 MOVE CAM 😡,-1,0.9985609449043049-0.000011618807450918795-0.0014274362882440016,true
-1,2018-05-06T20:33:22.227Z,forsen,Fallout: New Vegas,1444924,False,True,forsen1337 WTF NEW EMOTE Pog,1,0.36666666666666664-0.13999999999999999-0.4933333333333333,true
-1,2018-05-15T13:57:24.122Z,riotgames,League of Legends,2904897,False,False,i love azael lol,1,0.008130081300813009-0.008130081300813009-0.983739837398374,true
1,2018-05-30T02:26:00.146Z,moonmoon_ow,Games + Demos,172710,False,True,LUL,1,0.1-0.22-0.68,true
0,2018-05-04T13:00:06.056Z,riotgames,League of Legends,103094,False,False,CHEETAN GOD,0,0.07692307692307693-0.6153846153846154-0.3076923076923077,true
1,2018-05-09T00:50:55.481Z,sodapoppin,Wreckfest,996670,False,False,DEPLOY SAMME U ZULUL,0,0.33-0.34-0.33,false
1,2018-05-11T16:20:44.598Z,forsen,IRL,1518318,False,True,HYPERBRUH,-1,0.52-0.27-0.21,true
1,2018-05-16T18:48:01.425Z,forsen,The Council,731560,False,False,░░░░▓█───────▄▄▀▀█────── ░░░░▒░█────▄█▒░░▄░█───── ░░░░░░░▀▄─▄▀▒▀▀▀▄▄▀──DO─ ░░░░░░░░░█▒░░░░▄▀───YOU─ ▒▒▒░░░░▄▀▒░░░░▄▀───LIKE─ ▓▓▓▓▒░█▒░░░░░█▄───WHAT─ █████▀▒░░░░░█░▀▄───YOU── █████▒▒░░░▒█░░░▀▄─SEE?── ███▓▓▒▒▒▀▀▀█▄░░░░█────── ▓██▓▒▒▒▒▒▒▒▒▒█░░░░█───── ▓▓█▓▒▒▒▒▒▒▓▒▒█░░░░░█──── ░▒▒▀▀▄▄▄▄█▄▄▀░░░░░░░█─ gachiBASS,0,5.469952555749881e-69-1-6.368563294515065e-77,true
0,2018-05-08T21:54:16.780Z,xqcow,Overwatch,1748487,False,False,!plugdj,0,0.33-0.34-0.33,false
0,2018-05-14T12:06:08.542Z,riotgames,League of Legends,7554642,False,False,MLXD,0,0.33-0.34-0.33,false
0,2018-05-14T13:32:08.832Z,riotgames,League of Legends,29110,False,False,ACED FF@15,1,0.07692307692307693-0.38461538461538464-0.5384615384615384,true
1,2018-05-01T14:58:55.134Z,moonmoon_ow,Darkest Dungeon,1350834,False,False,good game i was the dick sucker :),0,0.24283305227655988-0.43844856661045534-0.31871838111298484,true
1,2018-05-11T23:30:14.329Z,xqcow,Overwatch,3312,True,True,xqcLove tealer_gamer just joined the jungle! xqcLove Thanks so much for subbing xqcCat And supporting the stream! xqcCat,0,0.0136986301369863-0.4931506849315068-0.4931506849315068,true
1,2018-05-05T06:36:08.890Z,moonmoon_ow,Darkest Dungeon,3231188,False,False,EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap EZ Clap,1,8.037845644733257e-59-6.238684976790627e-26-1,true
-1,2018-05-23T16:21:53.279Z,forsen,IRL,965854,False,True,sumSmash,0,0.34-0.48-0.18,true
1,2018-05-11T14:27:27.499Z,moonmoon_ow,Dead Cells,2647202,False,False,lololol,0,0.33-0.34-0.33,false
0,2018-05-23T01:57:41.937Z,xqcow,Until Dawn,861592,False,False,SETTLE DOWN xqcPls,0,0.33-0.34-0.33,false
0,2018-05-03T14:40:58.204Z,riotgames,League of Legends,1683031,False,False,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In et nibh nisi. Etiam non arcu ac massa aliquam aliquam non vehicula tortor. Phasellus in laoreet elit, in convallis justo. Sed sollicitudin tellus consequat, sodales nisi quis, iaculis ligula. Nam vehicula, augue ac congue porta, nulla mauris imperdiet tortor, vitae consequat eros nibh id ipsum.",0,0.33-0.34-0.33,false
-1,2018-05-17T16:54:34.425Z,moonmoon_ow,Dark Souls III,12488243,False,True,Mario Music actually makes me worse at platforming PepePls,-1,0.6197604790419162-0.22455089820359284-0.15568862275449102,true
1,2018-05-08T17:15:41.675Z,forsen,Barbie and the Magic of Pegasus,39535,False,True,AYAYA Clap,1,0.009602458229306703-0.11926253120798926-0.8711350105627039,true
0,2018-05-15T06:40:01.660Z,moonmoon_ow,Retro,2096351,False,False,change wifi monkaS,0,0.26-0.57-0.17,true
0,2018-05-31T21:26:44.232Z,forsen,Dark Souls,182090,False,True,???????????????,0,0.33-0.34-0.33,false
0,2018-05-12T14:51:48.375Z,riotgames,League of Legends,250349,False,False,so jatt says ''china sandbagging in group stage'' LUL,1,0.1-0.22-0.68,true
0,2018-05-14T03:07:54.997Z,xqcow,Overwatch,3479475,False,False,ResidentSleeper,-1,0.6-0.22-0.18,true
1,2018-05-08T05:25:42.277Z,moonmoon_ow,Throne of Lies: The Online Game of Deceit,953872,False,True,OMEGAROLL,0,0.33-0.34-0.33,false
-1,2018-05-22T02:26:39.640Z,moonmoon_ow,Super Ghouls 'N Ghosts,241794,False,True,moon2D,0,0.33-0.34-0.33,false
-1,2018-05-12T14:42:53.193Z,moonmoon_ow,Salt and Sanctuary,1690580,False,True,OBLITERATED moon2H,-1,0.6153846153846154-0.3076923076923077-0.07692307692307693,true
0,2018-05-14T12:28:29.511Z,riotgames,League of Legends,2987474,False,False,CHEWING DansGame,-1,0.62-0.22-0.16,true
1,2018-05-27T20:54:54.344Z,forsen,Dark Souls,2502541,False,True,CARRIED BY RNG LOOT OMEGALUL,1,0.16-0.25-0.59,true
1,2018-05-15T16:07:46.612Z,riotgames,League of Legends,1057377,False,False,EU GANK LUL,1,0.1-0.22-0.68,true
0,2018-05-30T05:34:38.039Z,moonmoon_ow,Baldi's Basics in Education and Learning,23188,False,True,monkaMEGA,0,0.33-0.34-0.33,false
-1,2018-05-08T19:22:25.965Z,forsen,Darwin Project,5743,False,True,PepeHands FREE PLEBS PepeHands FREE PLEBS PepeHands FREE PLEBS,1,0.07491000602492012-0.03303892835625286-0.892051065618827,true
0,2018-05-10T18:29:11.528Z,forsen,Darwin Project,2251724,False,False,░░░░█─────────────█──▀── ░░░░▓█───────▄▄▀▀█────── ░░░░▒░█────▄█▒░░▄░█───── ░░░░░░░▀▄─▄▀▒▀▀▀▄▄▀──DO─ ░░░░░░░░░█▒░░░░▄▀───YOU─ ▒▒▒░░░░▄▀▒░░░░▄▀───LIKE─ ▓▓▓▓▒░█▒░░░░░█▄───WHAT─ █████▀▒░░░░░█░▀▄───YOU── █████▒▒░░░▒█░░░▀▄─SEE?── ███▓▓▒▒▒▀▀▀█▄░░░░█────── ▓██▓▒▒▒▒▒▒▒▒▒█░░░░█───── ▓▓█▓▒▒▒▒▒▒▓▒▒█░░░░░█──── ░▒▒▀▀▄▄▄▄█▄▄▀░░░░░░░█─,0,7.641674573234489e-72-1-5.669714397644227e-81,true
1,2018-05-15T11:12:57.757Z,riotgames,League of Legends,189171,False,False,NA TRADE LUL,1,0.1-0.22-0.68,true
0,2018-05-21T05:00:22.760Z,sodapoppin,Warcraft III: The Frozen Throne,5148504,False,False,!uptime,0,0.33-0.34-0.33,false
-1,2018-05-06T22:56:29.436Z,sodapoppin,Peggle 2,459548,False,True,DansGame,-1,0.62-0.22-0.16,true
0,2018-05-09T18:41:16.527Z,sodapoppin,IRL,634722,False,True,true,0,0.07692307692307693-0.5384615384615384-0.38461538461538464,true
1,2018-05-20T11:38:07.077Z,riotgames,League of Legends,234372,False,False,AFK LUL,1,0.1-0.22-0.68,true
0,2018-05-25T19:44:06.625Z,sodapoppin,IRL,420726,False,False,PepePls,1,0.23-0.25-0.52,true
1,2018-05-26T17:51:10.655Z,forsen,Detroit: Become Human,76532,False,True,NO FATHER TriHard,0,0.2292576419213974-0.7074235807860262-0.06331877729257641,true
-1,2018-05-09T19:28:13.366Z,sodapoppin,Deathgarden,2234592,False,False,Same devs as dead by daylight dumb chat FailFish,-1,0.9926224010731053-0.005365526492287056-0.002012072434607646,true
-1,2018-05-25T18:03:26.275Z,sodapoppin,IRL,6562574,False,False,BECAUSE WE SAW IT BEFORE YOU DUMB FUCKS DID,-1,0.8641975308641975-0.1234567901234568-0.01234567901234568,true
0,2018-05-25T01:47:24.082Z,xqcow,Raft,450495,False,False,@Xeypher i thought it sounded familiar,0,0.33-0.34-0.33,false
1,2018-05-04T16:36:46.897Z,moonmoon_ow,Darkest Dungeon,159073,False,True,poggers moon2S,0,0.33-0.34-0.33,false
1,2018-05-18T13:12:34.043Z,riotgames,League of Legends,1033730,False,False,uzi PogChamp,1,0.01-0.03-0.96,true
1,2018-05-13T20:57:53.647Z,forsen,Super Mario Odyssey,163427,False,True,OMEGALUL,1,0.16-0.25-0.59,true
0,2018-05-20T00:28:48.631Z,sodapoppin,The Joy Of Sex,6199402,False,False,THICC BOI,0,0.33-0.34-0.33,false
0,2018-05-05T19:14:44.033Z,forsen,Fallout: New Vegas,972915,False,True,its elon CurseLit,0,0.11111111111111112-0.5151515151515151-0.37373737373737376,true
0,2018-05-13T05:45:44.135Z,xqcow,Fortnite,403058,False,False,small,0,0.33-0.34-0.33,false
0,2018-05-04T13:31:56.214Z,riotgames,League of Legends,9668433,False,False,seriously,0,0.3076923076923077-0.5384615384615384-0.15384615384615385,true
1,2018-05-02T06:31:18.444Z,moonmoon_ow,Darkest Dungeon,15,True,True,moon2S [12594] smiles,1,0.07692307692307693-0.38461538461538464-0.5384615384615384,true
1,2018-05-14T04:41:02.972Z,xqcow,IRL,1283560,False,False,OMEGALUL,1,0.16-0.25-0.59,true
1,2018-05-24T20:39:13.010Z,xqcow,Overwatch,148506,False,False,LUL,1,0.1-0.22-0.68,true
-1,2018-05-23T02:49:01.708Z,moonmoon_ow,Super Ghouls 'N Ghosts,74459,False,True,KoiHaibane My main issue was on the form I spaced out my zip code to be readable and shit and then I didn't do it on the other form that had to match it exactly OMEGALUL,-1,0.5947955390334573-0.1858736059479554-0.21933085501858735,true
0,2018-05-19T10:39:57.251Z,riotgames,League of Legends,6584425,False,False,whence,0,0.33-0.34-0.33,false
1,2018-05-05T15:42:21.051Z,forsen,Fallout: New Vegas,54371,False,True,Kappa,0,0.07-0.51-0.42,true
1,2018-05-30T23:08:11.149Z,sodapoppin,Dark Souls,551025,False,True,tauron demon is easy af,0,0.07692307692307693-0.46153846153846156-0.46153846153846156,true
-1,2018-05-22T16:37:05.446Z,moonmoon_ow,Dark Souls III,2126886,False,True,EZ 👇,1,0.029551451187335088-0.30870712401055406-0.6617414248021108,true
1,2018-05-09T22:05:46.246Z,sodapoppin,Deathgarden,5269796,False,False,Kappa,0,0.07-0.51-0.42,true
0,2018-05-05T06:47:25.607Z,moonmoon_ow,Darkest Dungeon,8549052,False,True,you're not wrong,-1,0.6153846153846154-0.3076923076923077-0.07692307692307693,true
1,2018-05-12T15:44:29.579Z,moonmoon_ow,Salt and Sanctuary,24880,False,True,4Head,1,0.2-0.21-0.59,true
1,2018-05-11T15:59:10.813Z,forsen,IRL,1682204,False,True,forsenOMEGA forsenOMEGA,0,0.33-0.34-0.33,false
0,2018-05-08T20:26:59.381Z,xqcow,Overwatch,11628567,False,False,!uptime,0,0.33-0.34-0.33,false
1,2018-05-26T16:21:46.372Z,forsen,Detroit: Become Human,250506,False,True,KappaPride ⁭,1,0.06930693069306931-0.36633663366336633-0.5643564356435643,true
0,2018-05-01T19:29:47.299Z,forsen,Fallout: New Vegas,391593,False,True,moon2N,0,0.33-0.34-0.33,false
0,2018-05-18T11:30:38.071Z,riotgames,League of Legends,2418239,False,False,MorphinTime SPAM MorphinTime THIS MorphinTime STATIC MorphinTime TO HELP MorphinTime FNATIC MorphinTime,0,0.16279069767441862-0.6976744186046512-0.13953488372093023,true
-1,2018-05-09T15:47:45.808Z,forsen,Radical Heights,1317328,False,True,forsenY forsenY forsenY forsenY forsenY,0,0.33-0.34-0.33,false
-1,2018-05-29T19:25:44.342Z,forsen,Dark Souls,3378,False,True,⎛° ͜ʖ°⎞ 🖕 ⎛° ͜ʖ°⎞ 🖕 ⎛° ͜ʖ°⎞ 🖕,0,0.33-0.34-0.33,false
1,2018-05-19T19:09:01.214Z,forsen,STAY,1653136,False,True,forsenOMEGA,0,0.33-0.34-0.33,false
1,2018-05-16T17:33:53.394Z,forsen,The Council,279716,False,False,alex sir LULW,1,0.16-0.22-0.62,true
0,2018-05-20T11:16:44.043Z,riotgames,League of Legends,1723421,False,False,WAR CHANT monkaS,-1,0.5545023696682464-0.40521327014218-0.04028436018957346,true
0,2018-05-19T10:54:37.940Z,riotgames,League of Legends,1487262,False,False,CONTROL WARDS LUL,1,0.1-0.22-0.68,true
-1,2018-05-29T18:27:18.015Z,forsen,Dark Souls,2642250,False,True,D:,-1,0.594059405940594-0.27722772277227725-0.12871287128712872,true
1,2018-05-06T23:37:45.370Z,sodapoppin,IRL,153292,False,False,UNLOCK IT forsenE,0,0.33-0.34-0.33,false
0,2018-05-25T10:06:33.560Z,sodapoppin,Detroit: Become Human,725851,False,True,Kapp NO,0,0.23076923076923078-0.6923076923076923-0.07692307692307693,true
0,2018-05-29T17:08:47.043Z,forsen,Dark Souls,430604,False,False,PepeLaugh HIJ WEET HET NIET PepeLaugh HIJ WEET HET NIET PepeLaugh HIJ WEET HET NIET PepeLaugh .,0,0.33-0.34-0.33,false
1,2018-05-14T17:17:35.078Z,moonmoon_ow,Salt and Sanctuary,9000,False,True,moon2N Saltydohg 2 months in a row. Thanks I guess moon2N,0,0.07692307692307693-0.46153846153846156-0.46153846153846156,true
-1,2018-05-27T23:12:49.983Z,forsen,Dark Souls,37431,False,True,EASIEST DARK SOULS OMEGALUL I KILLED ALL BOSSES FIRST TRY LAST WEEK OMEGALUL EASIEST DARK SOULS OMEGALUL I KILLED ALL BOSSES FIRST TRY LAST WEEK OMEGALUL,1,0.012969017370736009-0.015971356889846907-0.9710596257394171,true
-1,2018-05-05T07:09:35.459Z,moonmoon_ow,Darkest Dungeon,127227,False,True,monkaMEGA,0,0.33-0.34-0.33,false
1,2018-05-22T23:44:42.002Z,sodapoppin,Overwatch,666465,False,False,P OMEGALUL K E,1,0.16-0.25-0.59,true
1,2018-05-17T21:26:03.182Z,xqcow,Overwatch,795980,False,False,Pedobear Clap,1,0.05-0.23-0.72,true
1,2018-05-29T23:57:33.706Z,xqcow,Overwatch,4489839,False,False,FeelsGoodMan Clap AGANE,1,0.0007363770250368188-0.02371134020618557-0.9755522827687775,true
1,2018-05-02T20:03:20.275Z,forsen,Fallout: New Vegas,2204291,False,False,DansGame,-1,0.62-0.22-0.16,true
-1,2018-05-31T21:38:02.688Z,sodapoppin,Moonlighter,1304906,False,True,DansGame,-1,0.62-0.22-0.16,true
1,2018-05-23T00:46:36.356Z,xqcow,Overwatch,7376341,False,False,MOXY POGGERS,1,0.04-0.12-0.84,true
0,2018-05-16T04:05:34.934Z,xqcow,Overwatch,152166,False,False,RAT,0,0.33-0.34-0.33,false
0,2018-05-05T22:18:29.486Z,forsen,IRL,2840956,False,False,WORST ENDING,-1,0.7692307692307693-0.15384615384615385-0.07692307692307693,true
-1,2018-05-11T22:34:51.651Z,sodapoppin,IRL,11990659,False,False,FeelsBadMan,-1,0.66-0.16-0.18,true
-1,2018-05-20T21:52:27.488Z,sodapoppin,IRL,6583692,False,False,and onther school shooter was made in minecraft,0,0.33-0.34-0.33,false
1,2018-05-17T18:02:49.716Z,forsen,House Flipper,26831,False,True,PepeLaugh 👉 🇫🇷 PepeLaugh 👉 🇫🇷,0,0.011611068692240859-0.5014085990363604-0.4869803322713989,true
1,2018-05-05T05:30:05.725Z,moonmoon_ow,Darkest Dungeon,272982,False,True,gachiBASS Clap THANK YOU SIR,1,0.003285420944558521-0.19835728952772072-0.7983572895277208,true
0,2018-05-20T13:27:16.208Z,riotgames,League of Legends,33444,False,False,forsen3 forsen4,0,0.33-0.34-0.33,false
1,2018-05-20T15:58:31.077Z,forsen,IRL,148229,False,False,forsenSWA Clap,1,0.05-0.23-0.72,true
1,2018-05-21T22:03:16.408Z,sodapoppin,IRL,11968688,False,True,lolol,0,0.33-0.34-0.33,false
0,2018-05-18T14:27:17.015Z,moonmoon_ow,Dark Souls III,163494,False,True,moon2M LITERALLY 100000 IQ ATHEIST BTW moon2M LITERALLY 100000 IQ ATHEIST BTW moon2M LITERALLY 100000 IQ ATHEIST BTW moon2M LITERALLY 100000 IQ ATHEIST BTW,0,0.33-0.34-0.33,false
0,2018-05-08T21:32:01.867Z,sodapoppin,IRL,535150,False,True,sodaL sodaL sodaL,0,0.33-0.34-0.33,false
-1,2018-05-04T03:19:21.233Z,moonmoon_ow,Darkest Dungeon,2406626,False,True,"seal1234 please come back, the kids miss you, and so do i",0,0.047619047619047616-0.6666666666666666-0.28571428571428575,true
0,2018-05-15T20:58:36.033Z,forsen,Laser League,6002250,False,True,CRA IDDO forsenCD CRA IDDO forsenCD CRA IDDO forsenCD CRA IDDO forsenCD,0,0.33-0.34-0.33,false
-1,2018-05-25T14:16:30.552Z,sodapoppin,Detroit: Become Human,57168,False,True,FeelsBadMan,-1,0.66-0.16-0.18,true
1,2018-05-25T00:51:05.882Z,xqcow,Raft,453459,False,True,@xQcOW make boat armor,0,0.33-0.34-0.33,false
0,2018-05-06T21:47:07.867Z,sodapoppin,Peggle 2,255796,False,False,???????,0,0.33-0.34-0.33,false
-1,2018-05-23T00:55:01.082Z,xqcow,Overwatch,577769,False,False,@QUOTE_WHEN_XQC_GOES_AGANE,0,0.33-0.34-0.33,false
0,2018-05-15T11:23:09.757Z,riotgames,League of Legends,995632,False,False,olleh throw...,0,0.33-0.34-0.33,false
1,2018-05-11T22:38:17.918Z,sodapoppin,IRL,217078,False,False,Kkona,0,0.33-0.34-0.33,false
-1,2018-05-20T06:26:32.793Z,moonmoon_ow,Throne of Lies: The Online Game of Deceit,12072894,False,True,YOU LOSE IF IT'S EVIL KING OMEGAROLL,-1,0.898876404494382-0.08988764044943821-0.011235955056179777,true
1,2018-05-07T18:18:27.671Z,forsen,Barbie and the Magic of Pegasus,2870590,False,False,💿 Clap,1,0.05-0.23-0.72,true
0,2018-05-20T06:50:56.856Z,xqcow,Fortnite,933162,False,False,50 OVENS,0,0.33-0.34-0.33,false
